2020-02-15,7,4,54,4,3,-1
2020-02-16,6,1,29,3,1,-1
2020-02-17,6,-2,46,4,-15,4
2020-02-18,-3,-3,-11,-1,1,1
2020-02-19,3,3,13,4,3,-1
2020-02-20,-5,-3,-18,-1,0,2
2020-02-21,0,-2,7,3,0,0
2020-02-22,6,4,61,5,5,-2
2020-02-23,3,1,7,2,1,0
2020-02-24,-2,-4,-19,0,2,2
2020-02-25,8,3,27,4,3,-1
2020-02-26,10,5,0,5,3,-1
2020-02-27,11,5,13,8,2,-1
2020-02-28,9,4,12,9,1,-1
2020-02-29,16,9,60,16,5,-3
2020-03-01,16,11,59,13,3,-2
2020-03-02,8,4,-5,3,2,1
2020-03-03,17,12,38,4,-8,0
2020-03-04,12,11,36,5,0,-1
2020-03-05,11,10,33,7,1,-2
2020-03-06,5,4,25,6,0,-1
2020-03-07,12,10,88,15,6,-3
2020-03-08,13,11,81,13,2,-2
2020-03-09,8,7,45,5,0,0
2020-03-10,8,8,26,3,-1,1
2020-03-11,8,11,43,3,0,0
2020-03-12,7,24,30,1,-2,0
2020-03-13,2,23,29,0,-6,2
2020-03-14,-4,19,27,1,1,2
2020-03-15,-8,13,-2,-5,-7,3
2020-03-16,-4,20,10,-7,-15,6
2020-03-17,-10,17,8,-9,-19,8
2020-03-18,-15,14,21,-13,-22,9
2020-03-19,-17,14,38,-16,-24,9
2020-03-20,-27,9,-18,-22,-27,13
2020-03-21,-33,9,11,-16,-16,8
2020-03-22,-37,0,1,-30,-28,8
2020-03-23,-32,-2,-16,-27,-34,15
2020-03-24,-39,-10,-29,-29,-38,17
2020-03-25,-33,-6,34,-26,-38,15
2020-03-26,-31,-6,57,-27,-39,14
2020-03-27,-34,-9,40,-30,-39,16
2020-03-28,-38,-7,48,-27,-26,9
2020-03-29,-35,-9,35,-35,-34,8
2020-03-30,-31,-10,10,-32,-39,15
2020-03-31,-36,-11,-30,-32,-42,18
2020-04-01,-31,-1,7,-28,-42,16
2020-04-02,-33,0,11,-31,-42,16
2020-04-03,-37,-2,1,-35,-44,18
2020-04-04,-45,-6,6,-33,-31,11
2020-04-05,-43,-9,2,-42,-38,10
2020-04-06,-35,-9,3,-35,-43,16
2020-04-07,-36,-7,5,-33,-45,17
2020-04-08,-35,-5,8,-32,-45,17
2020-04-09,-33,-4,0,-35,-46,17
2020-04-10,-36,-5,-5,-39,-53,20
2020-04-11,-40,2,11,-36,-33,10
2020-04-12,-65,-43,-61,-53,-47,13
2020-04-13,-33,-11,-21,-35,-44,17
2020-04-14,-31,-8,-8,-30,-43,16
2020-04-15,-21,0,5,-27,-42,15
2020-04-16,-25,-3,1,-31,-42,15
2020-04-17,-30,-8,6,-33,-42,16
2020-04-18,-33,-4,2,-28,-27,9
2020-04-19,-38,-13,-31,-44,-36,10
2020-04-20,-25,-7,3,-30,-40,15
2020-04-21,-24,-4,18,-26,-41,15
2020-04-22,-26,-5,10,-29,-41,15
2020-04-23,-32,-9,-30,-35,-42,18
2020-04-24,-30,-8,5,-31,-41,16
2020-04-25,-36,-7,-24,-31,-28,10
2020-04-26,-34,-10,-33,-35,-35,9
2020-04-27,-18,-4,18,-27,-38,14
2020-04-28,-18,-1,28,-23,-39,8
2020-04-29,-20,-2,-10,-26,-40,15
2020-04-30,-18,2,0,-25,-39,14
2020-05-01,-17,3,33,-22,-38,13
2020-05-02,-20,7,80,-13,-22,5
2020-05-03,-20,0,41,-26,-28,5
2020-05-04,-10,2,19,-23,-36,11
2020-05-05,-10,7,10,-20,-36,12
2020-05-06,-12,5,5,-20,-36,13
2020-05-07,-12,6,35,-20,-35,11
2020-05-08,-21,-1,-21,-26,-37,15
2020-05-09,-13,19,47,-10,-18,4
2020-05-10,-12,14,50,-20,-23,3
2020-05-11,-10,-1,26,-19,-33,11
2020-05-12,-11,2,22,-19,-34,12
2020-05-13,-9,5,24,-18,-34,12
2020-05-14,-9,5,63,-17,-34,10
2020-05-15,-13,2,61,-18,-34,11
2020-05-16,-14,8,103,-10,-16,3
2020-05-17,-14,3,56,-20,-22,5
2020-05-18,-8,0,16,-21,-32,11
2020-05-19,-7,4,29,-17,-32,11
2020-05-20,-6,6,32,-16,-33,11
2020-05-21,-6,6,44,-15,-33,10
2020-05-22,-11,2,43,-14,-34,11
2020-05-23,-11,10,119,-6,-15,2
2020-05-24,-7,9,117,-18,-23,2
2020-05-25,-14,-2,114,-28,-68,18
2020-05-26,-7,4,54,-17,-32,10
2020-05-27,-6,3,37,-17,-31,11
2020-05-28,-5,4,50,-17,-30,9
