2020-02-15,-17,-8,,,-2,
2020-02-16,-8,-9,,,-1,
2020-02-17,-3,-3,,,-16,2
2020-02-18,-7,-2,,,-15,3
2020-02-19,-6,-3,,,-19,3
2020-02-20,-5,-5,,,-20,
2020-02-21,-14,-7,,,-18,
2020-02-22,-22,-9,,,-5,
2020-02-23,1,-5,,,0,
2020-02-24,-8,-7,,,-2,2
2020-02-25,5,6,,,1,1
2020-02-26,4,2,,,2,0
2020-02-27,17,0,,,3,-1
2020-02-28,5,3,,,1,1
2020-02-29,16,-2,,,1,
2020-03-01,4,-2,,,0,
2020-03-02,12,-2,,,0,1
2020-03-03,16,4,,,2,-1
2020-03-04,10,2,,,1,0
2020-03-05,5,3,,,0,0
2020-03-06,-1,3,,,3,0
2020-03-07,4,-2,,,0,
2020-03-08,5,-4,,,1,
2020-03-09,-1,-1,,,0,1
2020-03-10,1,2,,,0,1
2020-03-11,-1,3,,,1,1
2020-03-12,-5,8,,,-2,1
2020-03-13,0,9,,,-2,0
2020-03-14,-5,7,,,2,
2020-03-15,4,6,,,4,
2020-03-16,-1,17,,,-5,3
2020-03-17,-8,23,,,-11,6
2020-03-18,-14,20,,,-18,
2020-03-19,-11,20,,,-21,
2020-03-20,-24,10,,,-21,
2020-03-21,-40,9,,,-19,
2020-03-22,-50,-10,,,-27,
2020-03-23,-35,-6,,,-44,
2020-03-24,-71,-19,,-55,-58,
2020-03-25,-75,-24,,-56,-64,
2020-03-26,-77,-27,,-53,-67,
2020-03-27,-77,-24,,-53,-67,
2020-03-28,-83,-33,,,-55,
2020-03-29,-89,-39,,,-49,
2020-03-30,-73,-27,,-58,-69,
2020-03-31,-72,-22,,,-69,
2020-04-01,-79,-23,,-59,-68,
2020-04-02,-75,-24,,-56,-70,
2020-04-03,-80,-25,,-64,-68,
2020-04-04,-82,-32,,,-56,
2020-04-05,-88,-36,,,-51,
2020-04-06,,-27,,-58,-68,
2020-04-07,,-22,,,-67,
2020-04-08,,-24,,-50,-68,
2020-04-09,,-19,,-50,-67,
2020-04-10,,-25,,-47,-70,
2020-04-11,,-23,,,-50,
2020-04-12,,-40,,,-48,
2020-04-13,,-33,,,-75,
2020-04-14,,-18,,,-67,
2020-04-15,,-18,,,-66,
2020-04-16,,-23,,-56,-67,
2020-04-17,,-24,,-53,-66,
2020-04-18,,-25,,,-49,
2020-04-19,,-30,,,-45,
2020-04-20,,-22,,,-66,
2020-04-21,,-19,,,-66,
2020-04-22,,-21,,,-66,
2020-04-23,,-16,,-42,-65,
2020-04-24,,-16,,-44,-65,
2020-04-25,,-23,,,-46,
2020-04-26,,-25,,,-42,
2020-04-27,,-21,,,-64,
2020-04-28,,-18,,,-65,
2020-04-29,,-25,,-52,-64,
2020-04-30,,-18,,-51,-65,
2020-05-01,,-23,,-47,-62,
2020-05-02,,-20,,,-47,
2020-05-03,,-30,,,-41,
2020-05-04,,-23,,,-64,
2020-05-05,,-15,,,-62,
2020-05-06,,-14,,,-62,
2020-05-07,,-11,,-43,-62,
2020-05-08,,-20,,-43,-66,
2020-05-09,,-26,,,-45,
2020-05-10,,-27,,,-40,
2020-05-11,,-20,,,-62,
2020-05-12,,-16,,,-62,
2020-05-13,,-12,,,-62,
2020-05-14,-64,-14,,-50,-62,
2020-05-15,-69,-19,,-43,-59,
2020-05-16,-76,-22,,,-38,
2020-05-17,,-30,,,-37,
2020-05-18,,-17,,,-61,
2020-05-19,-60,-17,,,-62,
2020-05-20,,-14,,,-60,
2020-05-21,-66,-13,,-49,-61,
2020-05-22,-68,-19,,-56,-59,
2020-05-23,-80,-22,,,-43,
2020-05-24,,-23,,,-34,
2020-05-25,,-14,,,-63,
2020-05-26,-59,-10,,,-57,
2020-05-27,-54,-7,,,-57,
2020-05-28,-53,-5,,,-56,
2020-05-29,-62,-5,,,-56,
2020-05-30,-69,-9,,,-27,
2020-05-31,-61,-17,,,-19,
2020-06-01,-54,-8,,,-54,
2020-06-02,-56,-11,,,-55,
2020-06-03,-57,-6,,,-54,
2020-06-04,-58,-11,,-44,-56,
2020-06-05,-59,-11,,-48,-52,
2020-06-06,-67,-12,,,-24,
2020-06-07,-62,-17,,,-18,
2020-06-08,-52,-12,,,-52,
2020-06-09,-51,-9,,,-52,
2020-06-10,,-14,,-45,-55,
2020-06-11,-48,-10,,-38,-51,
2020-06-12,-56,-15,,-40,-52,
2020-06-13,-66,-14,,,-23,
2020-06-14,-59,-22,,,-16,
2020-06-15,-47,-16,,,-54,
2020-06-16,-45,-6,,,-51,
2020-06-17,-52,-9,,,-51,
2020-06-18,-47,-3,,,-50,
2020-06-19,-50,-7,,,-50,
2020-06-20,-56,-2,,,-16,
2020-06-21,-54,-18,,,-14,
2020-06-22,-50,-14,,,-54,
2020-06-23,-46,-11,,,-54,
