,,2020-02-15,3,2,29,9,1,-1
,,2020-02-16,-7,-3,-30,-3,-3,1
,,2020-02-17,1,2,8,4,4,0
,,2020-02-18,3,3,18,6,4,0
,,2020-02-19,3,1,13,5,4,0
,,2020-02-20,-2,-1,4,3,3,0
,,2020-02-21,0,3,15,7,2,0
,,2020-02-22,-4,0,0,2,-2,0
,,2020-02-23,-7,-7,-27,-2,-4,0
,,2020-02-24,7,0,7,-11,-24,4
,,2020-02-25,10,2,29,-8,-23,4
,,2020-02-26,-1,-5,-4,-11,-21,3
,,2020-02-27,-2,-2,-15,-15,-23,6
,,2020-02-28,-1,3,3,-10,-23,5
,,2020-02-29,-4,2,-7,-2,-5,1
,,2020-03-01,0,6,-2,5,-1,0
,,2020-03-02,-4,7,-12,0,3,0
,,2020-03-03,2,6,11,1,4,0
,,2020-03-04,1,4,7,1,4,0
,,2020-03-05,-4,1,-16,-2,2,2
,,2020-03-06,-1,5,2,3,2,1
,,2020-03-07,5,3,33,8,2,0
,,2020-03-08,-1,1,-21,-2,-1,0
,,2020-03-09,-1,4,6,-1,2,0
,,2020-03-10,-4,4,-5,-4,1,2
,,2020-03-11,-4,4,-3,-4,1,2
,,2020-03-12,-7,23,4,-7,-1,3
,,2020-03-13,-8,40,-5,-16,-7,5
,,2020-03-14,-70,-8,0,-34,-27,12
,,2020-03-15,-66,-18,20,-34,-29,8
,,2020-03-16,-32,16,7,-43,-36,14
,,2020-03-17,-36,30,31,-46,-45,16
,,2020-03-18,-61,-12,7,-56,-52,20
,,2020-03-19,-75,-23,-19,-67,-61,27
,,2020-03-20,-79,-22,-50,-71,-62,31
,,2020-03-21,-84,-39,-34,-67,-51,22
,,2020-03-22,-79,-45,-20,-63,-48,15
,,2020-03-23,-74,-25,-20,-70,-65,26
,,2020-03-24,-74,-21,-8,-69,-66,27
,,2020-03-25,-76,-29,-19,-69,-65,26
,,2020-03-26,-77,-25,-25,-72,-66,29
,,2020-03-27,-78,-21,-27,-70,-65,31
,,2020-03-28,-83,-36,-38,-67,-51,22
,,2020-03-29,-84,-53,-66,-76,-52,17
,,2020-03-30,-76,-30,-35,-72,-66,27
,,2020-03-31,-75,-25,-18,-71,-66,28
,,2020-04-01,-76,-31,-18,-69,-64,26
,,2020-04-02,-77,-27,-38,-73,-66,30
,,2020-04-03,-79,-21,-38,-72,-65,32
,,2020-04-04,-82,-32,-30,-64,-50,22
,,2020-04-05,-76,-36,-13,-60,-46,15
,,2020-04-06,-74,-27,-19,-69,-66,26
,,2020-04-07,-72,-19,4,-67,-66,26
,,2020-04-08,-73,-25,-3,-66,-64,24
,,2020-04-09,-73,-18,-7,-67,-66,27
,,2020-04-10,-75,-14,-12,-67,-66,30
,,2020-04-11,-79,-25,-20,-60,-47,20
,,2020-04-12,-75,-40,-24,-61,-45,15
,,2020-04-13,-86,-76,-31,-80,-88,35
,,2020-04-14,-73,-11,-26,-70,-66,27
,,2020-04-15,-74,-24,-12,-66,-64,25
,,2020-04-16,-73,-20,-4,-67,-65,27
,,2020-04-17,-75,-19,-14,-66,-63,30
,,2020-04-18,-80,-35,-54,-67,-45,22
,,2020-04-19,-76,-43,-29,-63,-41,15
,,2020-04-20,-66,-28,-9,-65,-60,24
,,2020-04-21,-66,-22,0,-64,-60,25
,,2020-04-22,-68,-25,-1,-63,-58,23
,,2020-04-23,-67,-19,2,-63,-60,25
,,2020-04-24,-71,-19,-17,-64,-59,28
,,2020-04-25,-75,-28,-25,-58,-39,19
,,2020-04-26,-70,-33,-3,-54,-36,13
,,2020-04-27,-63,-26,4,-62,-58,23
,,2020-04-28,-68,-23,-38,-68,-58,24
,,2020-04-29,-68,-21,-31,-64,-56,23
,,2020-04-30,-60,-1,-28,-64,-57,25
,,2020-05-01,-83,-69,-37,-76,-83,37
,,2020-05-02,-71,-19,-36,-60,-37,19
,,2020-05-03,-69,-36,-13,-55,-33,13
,,2020-05-04,-57,-19,-4,-59,-53,21
,,2020-05-05,-56,-16,17,-58,-53,21
,,2020-05-06,-57,-19,21,-55,-51,19
,,2020-05-07,-57,-13,19,-56,-52,22
,,2020-05-08,-60,-12,11,-56,-51,24
,,2020-05-09,-65,-18,17,-46,-28,15
,,2020-05-10,-62,-25,-39,-51,-17,10
,,2020-05-11,-41,-18,-18,-54,-48,19
,,2020-05-12,-40,-11,6,-50,-47,19
,,2020-05-13,-44,-15,-7,-50,-46,18
,,2020-05-14,-47,-8,-1,-49,-47,19
,,2020-05-15,-50,-7,1,-45,-44,21
,,2020-05-16,-54,-14,-6,-36,-18,13
,,2020-05-17,-59,-14,26,-32,-13,9
,,2020-05-18,-34,-9,22,-41,-43,16
,,2020-05-19,-33,-1,35,-39,-43,16
,,2020-05-20,-26,11,34,-38,-43,13
,,2020-05-21,-65,-52,80,-54,-80,25
,,2020-05-22,-38,5,-5,-49,-62,23
,,2020-05-23,-47,-13,-3,-36,-13,13
,,2020-05-24,-58,-19,4,-37,-11,9
,,2020-05-25,-29,-9,29,-40,-42,15
,,2020-05-26,-29,-4,47,-39,-39,15
,,2020-05-27,-32,-7,41,-38,-39,13
,,2020-05-28,-32,1,33,-39,-40,16
,,2020-05-29,-37,3,33,-37,-38,16
,,2020-05-30,-41,-1,35,-24,0,8
,,2020-05-31,-48,4,60,-22,0,5
,,2020-06-01,-57,-55,125,-51,-78,22
,,2020-06-02,-22,14,48,-34,-37,12
,,2020-06-03,-29,-2,35,-34,-36,12
,,2020-06-04,-36,-2,-19,-41,-37,16
,,2020-06-05,-41,-5,-28,-43,-36,17
,,2020-06-06,-39,-6,-10,-31,-2,10
,,2020-06-07,-45,-9,22,-29,1,7
,,2020-06-08,-14,-11,-9,-36,-36,12
,,2020-06-09,-14,-5,18,-34,-35,12
,,2020-06-10,-15,-9,25,-33,-34,11
,,2020-06-11,-15,-3,27,-33,-35,12
,,2020-06-12,-18,-3,27,-31,-33,12
